epoch,step,train_loss,val_acc,val_loss
0,6,,0.6194690465927124,4.437454700469971
1,13,,0.6194690465927124,4.242796897888184
2,20,,0.6194690465927124,4.015781879425049
3,27,,0.6194690465927124,3.813523054122925
4,34,,0.6182048320770264,3.610914945602417
5,41,,0.6169405579566956,3.4127254486083984
6,48,,0.6169405579566956,3.2036972045898438
7,49,4.347499370574951,,
7,55,,0.6169405579566956,3.0255444049835205
8,62,,0.6156763434410095,2.8532729148864746
9,69,,0.6169405579566956,2.6848196983337402
